sourceTypeID,modelYearID,fuelTypeID,engTechID,fuelEngFraction
11,1960,1,1,0
11,1961,1,1,0
11,1962,1,1,0
11,1963,1,1,1
11,1964,1,1,1
11,1965,1,1,1
11,1966,1,1,1
11,1967,1,1,1
11,1968,1,1,1
11,1969,1,1,1
11,1970,1,1,1
11,1971,1,1,1
11,1972,1,1,1
11,1973,1,1,1
11,1974,1,1,1
11,1975,1,1,1
11,1976,1,1,1
11,1977,1,1,1
11,1978,1,1,1
11,1979,1,1,1
11,1980,1,1,1
11,1981,1,1,1
11,1982,1,1,1
11,1983,1,1,1
11,1984,1,1,1
11,1985,1,1,1
11,1986,1,1,1
11,1987,1,1,1
11,1988,1,1,1
11,1989,1,1,1
11,1990,1,1,1
11,1991,1,1,1
11,1992,1,1,1
11,1993,1,1,1
11,1994,1,1,1
11,1995,1,1,1
11,1996,1,1,1
11,1997,1,1,1
11,1998,1,1,1
11,1999,1,1,1
11,2000,1,1,1
11,2001,1,1,1
11,2002,1,1,1
11,2003,1,1,1
11,2004,1,1,1
11,2005,1,1,1
11,2006,1,1,1
11,2007,1,1,1
11,2008,1,1,1
11,2009,1,1,1
11,2010,1,1,1
11,2011,1,1,1
11,2012,1,1,1
11,2013,1,1,1
11,2014,1,1,1
11,2015,1,1,1
11,2016,1,1,1
11,2017,1,1,1
11,2018,1,1,1
11,2019,1,1,1
11,2020,1,1,1
11,2021,1,1,1
11,2022,1,1,1
11,2023,1,1,0
11,2024,1,1,0
11,2025,1,1,0
11,2026,1,1,0
11,2027,1,1,0
11,2028,1,1,0
11,2029,1,1,0
11,2030,1,1,0
11,2031,1,1,0
11,2032,1,1,0
11,2033,1,1,0
11,2034,1,1,0
11,2035,1,1,0
11,2036,1,1,0
11,2037,1,1,0
11,2038,1,1,0
11,2039,1,1,0
11,2040,1,1,0
11,2041,1,1,0
11,2042,1,1,0
11,2043,1,1,0
11,2044,1,1,0
11,2045,1,1,0
11,2046,1,1,0
11,2047,1,1,0
11,2048,1,1,0
11,2049,1,1,0
11,2050,1,1,0
11,2051,1,1,0
11,2052,1,1,0
11,2053,1,1,0
11,2054,1,1,0
11,2055,1,1,0
11,2056,1,1,0
11,2057,1,1,0
11,2058,1,1,0
11,2059,1,1,0
11,2060,1,1,0
21,1960,1,1,1
21,1960,2,1,0
21,1960,5,1,0
21,1960,9,30,0
21,1961,1,1,1
21,1961,2,1,0
21,1961,5,1,0
21,1961,9,30,0
21,1962,1,1,1
21,1962,2,1,0
21,1962,5,1,0
21,1962,9,30,0
21,1963,1,1,1
21,1963,2,1,0
21,1963,5,1,0
21,1963,9,30,0
